,Entity,Code,Year,Game/Tonnes,Duck/Tonnes,Horse /Tonnes,Goose and Guinea Fowl/Tonnes,Sheep and Goat/Tonnes,Beef and Buffalo/Tonnes,Pig/Tonnes,Poultry/Tonnes,Fish and Seafood/Tonnes,Rye/Tonnes,Wheat/Tonnes,Cereals/Tonnes,Barley/Tonnes
0,Denmark,DNK,1961,3300.0,5000.0,3600.0,600.0,1200.0,140500.0,614300.0,83350.0,637490.0,513876,434057,5198900,2808149
1,Denmark,DNK,1962,3600.0,3200.0,2100.0,600.0,1100.0,177800.0,632100.0,88990.0,785100.0,512262,643992,5783409,3299515
2,Denmark,DNK,1963,3200.0,2000.0,2300.0,400.0,1100.0,180100.0,645400.0,81220.0,847900.0,319871,494060,5502930,3398857
3,Denmark,DNK,1964,4000.0,2400.0,2100.0,400.0,1200.0,156500.0,688000.0,95150.0,871060.0,291633,541454,6213090,3899590
4,Denmark,DNK,1965,4500.0,3000.0,1700.0,600.0,1400.0,154400.0,744000.0,83800.0,840830.0,264340,563769,6213087,4125804
5,Denmark,DNK,1966,4000.0,3700.0,1200.0,500.0,1900.0,195200.0,730900.0,68000.0,850800.0,136886,400474,5960293,4158559
6,Denmark,DNK,1967,4000.0,3200.0,1000.0,400.0,2700.0,218400.0,735000.0,66500.0,1070410.0,118398,420312,6152779,4382339
7,Denmark,DNK,1968,2800.0,3300.0,800.0,500.0,3000.0,207100.0,715100.0,64600.0,1466810.0,130780,464851,6785257,5047017
8,Denmark,DNK,1969,2900.0,3300.0,700.0,600.0,2500.0,193800.0,684400.0,68500.0,1275400.0,125898,428455,6775161,5255194
9,Denmark,DNK,1970,2500.0,3200.0,700.0,500.0,2000.0,191700.0,717300.0,78500.0,1226500.0,133190,512491,6231953,4813107
10,Denmark,DNK,1971,2500.0,3600.0,700.0,500.0,1400.0,194800.0,764300.0,80200.0,1400900.0,149960,585206,7026419,5457801
11,Denmark,DNK,1972,2500.0,3900.0,800.0,500.0,1100.0,170600.0,765300.0,85300.0,1442920.0,154854,592215,7067157,5571195
12,Denmark,DNK,1973,2500.0,4100.0,800.0,600.0,900.0,184500.0,773900.0,90100.0,1443660.0,139821,542247,6633316,5431928
13,Denmark,DNK,1974,3100.0,4000.0,700.0,400.0,600.0,238300.0,743900.0,95100.0,1835370.0,167604,591572,7261462,5967212
14,Denmark,DNK,1975,2600.0,4100.0,1163.0,300.0,525.0,235786.0,733941.0,90000.0,1767040.0,163233,519381,6251996,5156086
15,Denmark,DNK,1976,2600.0,4500.0,1457.0,300.0,446.0,242239.0,716480.0,97100.0,1919200.0,213103,592557,5902423,4801007
16,Denmark,DNK,1977,2600.0,4600.0,1934.0,400.0,426.0,243005.0,744264.0,102600.0,1806610.0,324423,605645,7377833,6142458
17,Denmark,DNK,1978,2500.0,5100.0,2448.0,600.0,413.0,237591.0,812380.0,98400.0,1750770.0,314889,642428,7491995,6300842
18,Denmark,DNK,1979,2400.0,4300.0,2562.0,300.0,395.0,253372.0,899074.0,99872.0,1741260.0,256614,589886,7689706,6661614
19,Denmark,DNK,1980,2617.0,4600.0,2279.0,300.0,420.0,245299.0,972200.0,96299.0,2032070.0,199298,652372,7070004,6044126
20,Denmark,DNK,1981,2623.0,4400.0,1900.0,300.0,363.0,237000.0,987000.0,103613.0,1859440.0,207871,834765,7276842,6043748
21,Denmark,DNK,1982,2686.0,3900.0,1491.0,500.0,418.0,230300.0,985500.0,110113.0,1931370.0,234550,1206971,7992679,6357063
22,Denmark,DNK,1983,2774.0,4500.0,1217.0,600.0,441.0,239400.0,1043000.0,111657.0,1870910.0,315363,1547845,6379865,4423400
23,Denmark,DNK,1984,2610.0,4300.0,1058.0,100.0,564.0,246708.0,1034574.0,110424.0,1851480.0,608119,2445877,9300369,6071697
24,Denmark,DNK,1985,2796.0,4300.0,983.0,100.0,663.0,236473.0,1083264.0,114522.0,1796990.0,564675,1972165,7956243,5250946
25,Denmark,DNK,1986,2827.0,4000.0,907.0,200.0,812.0,243151.0,1143976.0,115213.0,1849760.0,545959,2177228,7969109,5134266
26,Denmark,DNK,1987,2800.0,4400.0,900.0,200.0,915.0,234603.0,1148754.0,112647.0,1707820.0,512790,2284719,7183951,4291901
27,Denmark,DNK,1988,2850.0,4300.0,1000.0,100.0,1084.0,216730.0,1167446.0,116460.0,1974410.0,366317,2080441,8067500,5418649
28,Denmark,DNK,1989,2900.0,5800.0,1000.0,100.0,1172.0,204517.0,1163419.0,127663.0,1929290.0,487039,3224153,8795389,4959197
29,Denmark,DNK,1990,2990.0,4700.0,1000.0,100.0,1464.0,201699.0,1208480.0,131079.0,1517650.0,545019,3953412,9606978,4987406
30,Denmark,DNK,1991,3000.0,5141.0,990.0,117.0,1787.0,212536.0,1271896.0,138897.0,1793240.0,394634,3669852,9231245,5041193
31,Denmark,DNK,1992,3000.0,4877.0,890.0,158.0,1900.0,217000.0,1369700.0,155156.0,1997090.0,308333,3583011,6954231,2973674
32,Denmark,DNK,1993,3000.0,4400.0,979.0,179.0,2000.0,203100.0,1503700.0,167366.0,1654030.0,356000,4334000,8198500,3370000
