Entity,Code,Year,"Meat, game | 00001163 || Production | 005510 || tonnes","Meat, duck | 00001069 || Production | 005510 || tonnes","Meat, horse | 00001097 || Production | 005510 || tonnes","Meat, camel | 00001127 || Production | 005510 || tonnes","Meat, goose and guinea fowl | 00001073 || Production | 005510 || tonnes","Meat, sheep and goat | 00001807 || Production | 005510 || tonnes","Meat, beef and buffalo | 00001806 || Production | 005510 || tonnes","Meat, pig | 00001035 || Production | 005510 || tonnes","Meat, poultry | 00001808 || Production | 005510 || tonnes"
Afghanistan,AFG,1961,4000,,,3600,,73220,43000,,5600
Afghanistan,AFG,1962,4000,,,4031,,72375,45800,,6000
Afghanistan,AFG,1963,5000,,,5031,,75530,47250,,6160
Afghanistan,AFG,1964,5000,,,4680,,79750,48000,,6400
Afghanistan,AFG,1965,6000,,,4320,,84375,48700,,6800
Afghanistan,AFG,1966,6000,,,4320,,89690,68000,,7200
Afghanistan,AFG,1967,7000,,,4320,,100312,65000,,7600
Afghanistan,AFG,1968,7000,,,4320,,111312,71000,,8000
Afghanistan,AFG,1969,7000,,,4320,,106312,75000,,9600
Afghanistan,AFG,1970,7000,,,4320,,106200,62000,,9600
Afghanistan,AFG,1971,8000,,,4356,,107312,62000,,9600
Afghanistan,AFG,1972,8000,,,4356,,88000,61000,,9600
Afghanistan,AFG,1973,8200,,,4356,,99550,63000,,10000
Afghanistan,AFG,1974,8400,,,4356,,106550,62000,,10000
Afghanistan,AFG,1975,8600,,,4428,,113500,61000,,10400
Afghanistan,AFG,1976,8800,,,4428,,136500,62300,,10400
Afghanistan,AFG,1977,10500,,,4428,,137260,66000,,10800
Afghanistan,AFG,1978,9600,,,5400,,141260,67000,,11200
Afghanistan,AFG,1979,9700,,,3978,,138040,71000,,12000
Afghanistan,AFG,1980,10000,,,3870,,145940,67000,,12000
Afghanistan,AFG,1981,9000,,,3870,,152500,68000,,12400
Afghanistan,AFG,1982,9000,,,3870,,154280,69000,,12400
Afghanistan,AFG,1983,8500,,,3960,,144461,68000,,12560
Afghanistan,AFG,1984,7500,,,3960,,133681,68000,,12800
Afghanistan,AFG,1985,6000,,,3960,,118000,68000,,12960
Afghanistan,AFG,1986,4500,,,2520,,106700,68000,,13120
Afghanistan,AFG,1987,5000,,,2700,,113780,70000,,12960
Afghanistan,AFG,1988,6000,,,2880,,120860,71000,,12800
Afghanistan,AFG,1989,7000,,,3060,,127940,71000,,12560
Afghanistan,AFG,1990,8000,,,3240,,144992,86400,,12400
Afghanistan,AFG,1991,7945,,,3240,,137300,86400,,12160
Afghanistan,AFG,1992,7943,,,3240,,132980,86400,,12000
Afghanistan,AFG,1993,7941,,,3240,,131600,97200,,11840
Afghanistan,AFG,1994,7938,,,3240,,134200,113400,,11600
Afghanistan,AFG,1995,7936,,,3240,,133600,130000,,12320
Afghanistan,AFG,1996,7934,,,3420,,144800,143000,,13040
Afghanistan,AFG,1997,7932,,,3600,,159600,156000,,14000
Afghanistan,AFG,1998,7930,,,3780,,174100,171000,,15040
Afghanistan,AFG,1999,7928,,,3960,,192100,149000,,14000
Afghanistan,AFG,2000,7925,,,3960,,169700,126000,,13200
Afghanistan,AFG,2001,7923,,,3600,,146100,108000,,13120
Afghanistan,AFG,2002,7921,,,3600,,118800,150000,,24000
Afghanistan,AFG,2003,7919,,,3600,,121700,137000,,28400
Afghanistan,AFG,2004,7917,,,3960,,131000,149300,,30800
Afghanistan,AFG,2005,7915,,,3780,,133500,141100,,32320
Afghanistan,AFG,2006,7700,,,3600,,119400,117300,,24400
Afghanistan,AFG,2007,8000,,,3780,,100860,137000,,17600
Afghanistan,AFG,2008,8000,,,3780,,128480,133000,,20800
Afghanistan,AFG,2009,8000,,,3960,,137380,135000,,20000
Afghanistan,AFG,2010,8000,,,3960,,157200,131000,,28000
Afghanistan,AFG,2011,8000,,,3564,,160500,138000,,25600
Afghanistan,AFG,2012,8000,,,3600,,155200,139000,,24800
Afghanistan,AFG,2013,8000,,,3510,,150200,134000,,26400
Afghanistan,AFG,2014,7987,,,3566,,154113,120545,,24809
Afghanistan,AFG,2015,7992,,,3597,,155194,111438,,24559
Afghanistan,AFG,2016,7989,,,3592,,152124,107533,,24298
Afghanistan,AFG,2017,7995,,,3649,,157621,114994,,27694
Afghanistan,AFG,2018,8001,,,3672,,155983,115788,,29336
Afghanistan,AFG,2019,8005,,,3644,,130387,98204,,28033
Afghanistan,AFG,2020,8009,,,3658,,157160,116008,,27938
Africa,,1961,388610,17114,8306,55509,16287,711199,1858073,184917,353474
Africa,,1962,393040,17511,8961,57966,16921,713332,1866217,190932,369685
Africa,,1963,400520,17881,8847,63300,17344,711609,1928920,195043,382366
Africa,,1964,417390,18286,9528,65251,17766,731764,2002545,206642,403618
Africa,,1965,424230,18396,10261,71655,18189,770417,2047855,212583,422747
Africa,,1966,428320,18720,9781,74677,18781,804950,2105302,217898,451992
Africa,,1967,447320,19707,10071,73576,19120,827545,2097040,232148,481396
Africa,,1968,461190,19929,10526,75109,19418,876039,2148473,239931,509412
Africa,,1969,464810,20440,10331,77263,19673,920106,2241087,257231,553460
Africa,,1970,469390,21271,11620,80061,20307,917034,2297769,259485,585661
Africa,,1971,475540,21470,13104,77689,20604,933212,2300284,268504,610967
Africa,,1972,478300,22198,13215,83726,20944,956498,2354015,289567,658223
Africa,,1973,464310,22150,13817,81148,21283,892557,2439858,301141,702819
Africa,,1974,474780,22176,12594,80709,20781,860952,2473958,294230,714300
Africa,,1975,487660,22483,11779,73082,21709,903810,2396760,298315,783400
Africa,,1976,489320,23268,12249,75963,21426,940982,2508742,311550,851818
Africa,,1977,509770,23696,13665,77272,21538,983696,2638957,323251,898026
Africa,,1978,516580,24684,12326,76689,22493,1043147,2806802,327681,953466
Africa,,1979,527991,25111,13476,78528,22654,1069201,2875073,329664,985963
Africa,,1980,546790,23577,13837,83522,20644,1105297,2926097,342199,1039275
Africa,,1981,562300,23720,15529,85505,20734,1138930,2872740,361319,1106355
Africa,,1982,579275,29614,13367,102168,26007,1152064,3002668,373643,1188624
Africa,,1983,592175,34218,12792,104495,30714,1178907,3090333,382540,1304816
Africa,,1984,605725,36437,9799,113266,32611,1186963,3140928,401877,1398717
Africa,,1985,616925,39411,10443,112014,35131,1199784,3164111,417524,1474597
Africa,,1986,637450,41215,10096,112113,36013,1201413,3081255,448221,1567057
Africa,,1987,649325,40659,10621,102226,34753,1301321,3053321,487234,1649940
Africa,,1988,660750,42017,11580,111493,36055,1388487,3078989,507849,1667212
Africa,,1989,674625,42534,12236,124862,36065,1449757,3141787,561244,1735264
Africa,,1990,681351,44268,12995,132293,27341,1460161,3252594,629245,1947638
Africa,,1991,671418,45423,13301,136010,25721,1463702,3460947,598348,1952580
Africa,,1992,635307,45896,12957,134951,28981,1473331,3556974,632279,1997924
Africa,,1993,699431,46886,13112,120541,33333,1417010,3567018,648248,2023255
Africa,,1994,714208,47463,13322,127791,29316,1418004,3489610,659092,2132787
Africa,,1995,728879,49469,13499,132362,29753,1456397,3501260,708174,2280449
Africa,,1996,741172,51267,13665,136230,30607,1502745,3504932,718919,2411226
Africa,,1997,755475,54059,13417,130694,31244,1553719,3883209,737436,2613036
Africa,,1998,773745,57870,13515,133893,31767,1614195,3709650,743261,2640198
Africa,,1999,787423,55984,13699,139614,32385,1685001,3916342,745838,2767116
Africa,,2000,804972,57525,14122,135739,33281,1689260,3922276,765836,2930938
Africa,,2001,822132,58071,14974,145501,33143,1771766,3896998,781964,3133827
Africa,,2002,837788,58481,15034,142986,33145,1798751,4185592,811374,3330616
Africa,,2003,857752,63691,15415,148444,33447,1850658,4217401,821897,3344001
Africa,,2004,877441,68708,15569,151163,33451,1921091,4307795,881434,3375624
Africa,,2005,895127,73791,15668,143486,33653,1985438,4554497,924861,3510035
Africa,,2006,915256,78979,15337,143214,33654,2060843,4723330,952601,3573478
Africa,,2007,932164,81391,15949,183563,33621,2148690,4830953,984910,3953027
Africa,,2008,973351,85319,16537,202091,33623,2155091,5004304,1024643,4205440
Africa,,2009,1002561,87134,16830,186457,33891,2235517,5134296,1035736,4428786
Africa,,2010,1034789,84100,16916,201317,34098,2318367,5360117,1075490,4730509
Africa,,2011,1077371,81667,17098,204762,34137,2345456,5429764,1125808,4838072
Africa,,2012,1101722,89556,16906,351362,34348,2772204,5803655,1197927,5078720
Africa,,2013,1103115,92365,16627,351586,36435,2871687,6081115,1252261,5410654
Africa,,2014,1114328,99975,16382,350402,38210,2939693,6215260,1314455,5620819
Africa,,2015,1160046,103155,16566,358091,39382,3008308,6352200,1349351,5798797
Africa,,2016,1141785,141118,17207,351481,37845,3058183,6373412,1384847,5823756
Africa,,2017,1149221,144476,17415,358270,38276,3073299,6484541,1459627,6295160
Africa,,2018,1155904,121824,17438,353573,39711,3148843,6207408,1604050,6568779
Africa,,2019,1149883,162353,17748,385555,27333,3284387,6348847,1592152,6849669
Africa,,2020,1153558,126297,17850,373201,35225,3382460,6226427,1597492,6767105
Africa (FAO),,1961,393610,17114,8306,69009,16287,777950,1960373,184915,361473
Africa (FAO),,1962,398040,17510,8961,71466,16921,782784,1971816,190930,377683
Africa (FAO),,1963,405720,17880,8847,76800,17344,779860,2037820,195044,392366
Africa (FAO),,1964,422590,18285,9528,78751,17765,802414,2114745,206642,415618
