Entity,Code,Year,Rye | 00000071 || Production | 005510 || tonnes
Africa,,1961,10290
Africa,,1962,9100
Africa,,1963,13800
Africa,,1964,16100
Africa,,1965,13900
Africa,,1966,8411
Africa,,1967,14301
Africa,,1968,9100
Africa,,1969,8100
Africa,,1970,15160
Africa,,1971,7120
Africa,,1972,12000
Africa,,1973,15320
Africa,,1974,8850
Africa,,1975,7980
Africa,,1976,9330
Africa,,1977,5900
Africa,,1978,10870
Africa,,1979,11800
Africa,,1980,9900
Africa,,1981,11060
Africa,,1982,10149
Africa,,1983,9800
Africa,,1984,7520
Africa,,1985,3520
Africa,,1986,4000
Africa,,1987,4000
Africa,,1988,4000
Africa,,1989,21100
Africa,,1990,21274
Africa,,1991,21200
Africa,,1992,19300
Africa,,1993,22844
Africa,,1994,24400
Africa,,1995,27352
Africa,,1996,28736
Africa,,1997,29570
Africa,,1998,30371
Africa,,1999,30372
Africa,,2000,29554
Africa,,2001,33980
Africa,,2002,33055
Africa,,2003,32506
Africa,,2004,32893
Africa,,2005,55665
Africa,,2006,80253
Africa,,2007,83157
Africa,,2008,100000
Africa,,2009,102700
Africa,,2010,102898
Africa,,2011,98573
Africa,,2012,94672
Africa,,2013,93818
Africa,,2014,94537
Africa,,2015,95648
Africa,,2016,97329
Africa,,2017,95834
Africa,,2018,96279
Africa,,2019,96488
Africa,,2020,96197
Africa (FAO),,1961,10290
Africa (FAO),,1962,9100
Africa (FAO),,1963,13800
Africa (FAO),,1964,16100
Africa (FAO),,1965,13900
Africa (FAO),,1966,8411
Africa (FAO),,1967,14301
Africa (FAO),,1968,9100
Africa (FAO),,1969,8100
Africa (FAO),,1970,15160
Africa (FAO),,1971,7120
Africa (FAO),,1972,12000
Africa (FAO),,1973,15320
Africa (FAO),,1974,8850
Africa (FAO),,1975,7980
Africa (FAO),,1976,9330
Africa (FAO),,1977,5900
Africa (FAO),,1978,10870
Africa (FAO),,1979,11800
Africa (FAO),,1980,9900
Africa (FAO),,1981,11060
Africa (FAO),,1982,10149
Africa (FAO),,1983,9800
Africa (FAO),,1984,7520
Africa (FAO),,1985,3520
Africa (FAO),,1986,4000
Africa (FAO),,1987,4000
Africa (FAO),,1988,4000
Africa (FAO),,1989,21100
Africa (FAO),,1990,21274
Africa (FAO),,1991,21200
Africa (FAO),,1992,19300
Africa (FAO),,1993,22844
Africa (FAO),,1994,24400
Africa (FAO),,1995,27352
